conflictid,country,incomp,year,int,cumint,type,startdate,startprec,startdate2,startprec2,epend,ependdate,ependprec,region
194,Bosnia-Herzegovina,1,1992,2,1,4,1992-04-27,1,1992-04-30,2,0,,,1
194,Bosnia-Herzegovina,1,1993,2,1,4,1992-04-27,1,1992-04-30,2,0,,,1
194,Bosnia-Herzegovina,1,1994,2,1,3,1992-04-27,1,1992-04-30,2,0,,,1
194,Bosnia-Herzegovina,1,1995,2,1,3,1992-04-27,1,1992-04-30,2,1,1995-11-21,1,1
202,Bosnia-Herzegovina,1,1993,1,0,3,1993-07-21,1,1993-10-05,1,0,,,1
202,Bosnia-Herzegovina,1,1994,1,0,3,1993-07-21,1,1993-10-05,1,0,,,1
202,Bosnia-Herzegovina,1,1995,1,0,3,1993-07-21,1,1993-10-05,1,1,1995-08-07,1,1
203,Bosnia-Herzegovina,1,1993,2,1,4,1992-10-20,1,1993-01-15,2,0,,,1
203,Bosnia-Herzegovina,1,1994,1,1,3,1992-10-20,1,1993-01-15,2,1,1994-03-01,1,1
76,Brunei,1,1962,1,0,1,1962-12-08,1,1962-12-08,1,1,1962-12-31,2,3
165,Burkina Faso,2,1987,1,0,3,1987-10-15,1,1987-10-15,1,1,1987-10-15,1,4
160,Burkina Faso,1,1985,1,0,2,1985-12-25,1,1985-12-26,2,1,1985-12-31,1,4
108,Burma,1,1969,1,0,2,1969-02-28,4,1969-02-28,4,1,1969-12-31,5,3
23,Burma,1,1949,2,1,3,1948-12-31,3,1949-01-15,1,0,,,3
23,Burma,1,1950,2,1,3,1948-12-31,3,1949-01-15,1,0,,,3
23,Burma,1,1951,1,1,3,1948-12-31,3,1949-01-15,1,0,,,3
23,Burma,1,1952,1,1,3,1948-12-31,3,1949-01-15,1,0,,,3
23,Burma,1,1953,1,1,3,1948-12-31,3,1949-01-15,1,0,,,3
23,Burma,1,1954,1,1,3,1948-12-31,3,1949-01-15,1,0,,,3
23,Burma,1,1955,2,1,3,1948-12-31,3,1949-01-15,1,0,,,3
23,Burma,1,1956,1,1,3,1948-12-31,3,1949-01-15,1,0,,,3
23,Burma,1,1957,1,1,3,1948-12-31,3,1949-01-15,1,0,,,3
23,Burma,1,1958,1,1,3,1948-12-31,3,1949-01-15,1,0,,,3
23,Burma,1,1959,1,1,3,1948-12-31,3,1949-01-15,1,0,,,3
23,Burma,1,1960,1,1,3,1948-12-31,3,1949-01-15,1,0,,,3
23,Burma,1,1961,1,1,3,1948-12-31,3,1949-01-15,1,0,,,3
23,Burma,1,1962,1,1,3,1948-12-31,3,1949-01-15,1,0,,,3
23,Burma,1,1963,1,1,3,1948-12-31,3,1949-01-15,1,0,,,3
23,Burma,1,1964,1,1,3,1948-12-31,3,1949-01-15,1,0,,,3
23,Burma,1,1965,1,1,3,1948-12-31,3,1949-01-15,1,0,,,3
23,Burma,1,1966,1,1,3,1948-12-31,3,1949-01-15,1,0,,,3
23,Burma,1,1967,1,1,3,1948-12-31,3,1949-01-15,1,0,,,3
23,Burma,1,1968,1,1,3,1948-12-31,3,1949-01-15,1,0,,,3
23,Burma,1,1969,1,1,3,1948-12-31,3,1949-01-15,1,0,,,3
23,Burma,1,1970,1,1,3,1948-12-31,3,1949-01-15,1,0,,,3
23,Burma,1,1971,2,1,3,1948-12-31,3,1949-01-15,1,0,,,3
23,Burma,1,1972,1,1,3,1948-12-31,3,1949-01-15,1,0,,,3
23,Burma,1,1973,1,1,3,1948-12-31,3,1949-01-15,1,0,,,3
23,Burma,1,1974,1,1,3,1948-12-31,3,1949-01-15,1,0,,,3
23,Burma,1,1975,1,1,3,1948-12-31,3,1949-01-15,1,0,,,3
23,Burma,1,1976,1,1,3,1948-12-31,3,1949-01-15,1,0,,,3
23,Burma,1,1977,1,1,3,1948-12-31,3,1949-01-15,1,0,,,3
23,Burma,1,1978,1,1,3,1948-12-31,3,1949-01-15,1,0,,,3
23,Burma,1,1979,1,1,3,1948-12-31,3,1949-01-15,1,0,,,3
23,Burma,1,1980,1,1,3,1948-12-31,3,1949-01-15,1,0,,,3
23,Burma,1,1981,1,1,3,1948-12-31,3,1949-01-15,1,0,,,3
23,Burma,1,1982,1,1,3,1948-12-31,3,1949-01-15,1,0,,,3
23,Burma,1,1983,2,1,3,1948-12-31,3,1949-01-15,1,0,,,3
23,Burma,1,1984,2,1,3,1948-12-31,3,1949-01-15,1,0,,,3
23,Burma,1,1985,1,1,3,1948-12-31,3,1949-01-15,1,0,,,3
23,Burma,1,1986,1,1,3,1948-12-31,3,1949-01-15,1,0,,,3
23,Burma,1,1987,1,1,3,1948-12-31,3,1949-01-15,1,0,,,3
23,Burma,1,1988,1,1,3,1948-12-31,3,1949-01-15,1,0,,,3
23,Burma,1,1989,2,1,3,1948-12-31,3,1949-01-15,1,0,,,3
23,Burma,1,1990,1,1,3,1948-12-31,3,1949-01-15,1,0,,,3
23,Burma,1,1991,1,1,3,1948-12-31,3,1949-01-15,1,0,,,3
23,Burma,1,1992,2,1,3,1948-12-31,3,1949-01-15,1,1,1992-04-28,1,3
23,Burma,1,1995,1,1,3,1948-12-31,3,1995-02-09,1,1,1995-12-31,5,3
23,Burma,1,1997,1,1,3,1948-12-31,3,1997-02-23,2,0,,,3
23,Burma,1,1998,1,1,3,1948-12-31,3,1997-02-23,2,1,1998-12-31,5,3
23,Burma,1,2000,1,1,3,1948-12-31,3,2000-11-02,1,0,,,3
23,Burma,1,2001,1,1,3,1948-12-31,3,2000-11-02,1,0,,,3
23,Burma,1,2002,1,1,3,1948-12-31,3,2000-11-02,1,0,,,3
23,Burma,1,2003,1,1,3,1948-12-31,3,2000-11-02,1,1,2003-12-31,5,3
23,Burma,1,2005,1,1,3,1948-12-31,3,2005-04-12,1,0,,,3
23,Burma,1,2006,1,1,3,1948-12-31,3,2005-04-12,1,0,,,3
23,Burma,1,2007,1,1,3,1948-12-31,3,2005-04-12,1,0,,,3
23,Burma,1,2008,1,1,3,1948-12-31,3,2005-04-12,1,0,,,3
23,Burma,1,2009,1,1,3,1948-12-31,3,2005-04-12,1,0,,,3
23,Burma,1,2010,1,1,3,1948-12-31,3,2005-04-12,1,0,,,3
23,Burma,1,2011,1,1,3,1948-12-31,3,2005-04-12,1,1,2011-11-24,1,3
24,Burma,2,1948,2,1,3,1948-02-29,4,1948-02-29,4,0,,,3
24,Burma,2,1949,2,1,3,1948-02-29,4,1948-02-29,4,0,,,3
24,Burma,2,1950,2,1,3,1948-02-29,4,1948-02-29,4,0,,,3
24,Burma,2,1951,2,1,3,1948-02-29,4,1948-02-29,4,0,,,3
24,Burma,2,1952,2,1,3,1948-02-29,4,1948-02-29,4,0,,,3
24,Burma,2,1953,2,1,3,1948-02-29,4,1948-02-29,4,0,,,3
24,Burma,2,1954,1,1,3,1948-02-29,4,1948-02-29,4,0,,,3
24,Burma,2,1955,1,1,3,1948-02-29,4,1948-02-29,4,0,,,3
24,Burma,2,1956,1,1,3,1948-02-29,4,1948-02-29,4,0,,,3
24,Burma,2,1957,1,1,3,1948-02-29,4,1948-02-29,4,0,,,3
24,Burma,2,1958,1,1,3,1948-02-29,4,1948-02-29,4,0,,,3
24,Burma,2,1959,1,1,3,1948-02-29,4,1948-02-29,4,0,,,3
24,Burma,2,1960,1,1,3,1948-02-29,4,1948-02-29,4,0,,,3
24,Burma,2,1961,1,1,3,1948-02-29,4,1948-02-29,4,0,,,3
24,Burma,2,1962,1,1,3,1948-02-29,4,1948-02-29,4,0,,,3
24,Burma,2,1963,1,1,3,1948-02-29,4,1948-02-29,4,0,,,3
24,Burma,2,1964,1,1,3,1948-02-29,4,1948-02-29,4,0,,,3
24,Burma,2,1965,1,1,3,1948-02-29,4,1948-02-29,4,0,,,3
