"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"PAPRPPG","198303","9237","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198304","9221","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198305","10562","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198306","10578","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198307","12007","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198308","12220","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198309","12707","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198310","12353","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198311","12342","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198312","11922","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198313","11081","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198401","11197","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198402","11137","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198403","11424","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198404","11447","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198405","10741","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198406","11817","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198407","11281","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198408","10269","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198409","10147","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198410","10039","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198411","10059","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198412","9890","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198413","10784","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198501","9232","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198502","10046","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198503","9948","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198504","9686","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198505","8374","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198506","8407","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198507","8902","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198508","8703","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198509","9437","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198510","10592","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198511","10797","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198512","11474","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198513","9630","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198601","10907","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198602","11395","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198603","10775","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198604","11225","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198605","11496","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198606","12745","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198607","13449","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198608","13538","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198609","10774","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198610","11018","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198611","11416","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198612","11565","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198613","11696","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198701","11125","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
