YYYY, C_win, C_sum,  T_win,   T_sum,  T_year 
829,    II,      ,23,        ,92
830,      ,      ,       ,        ,           
831,      ,      ,       ,        ,           
832,      ,      ,       ,        ,           
833,      ,      ,       ,        ,           
834,    II,      ,23,        ,92
835,      ,      ,       ,        ,           
836,      ,      ,       ,        ,           
837,      ,      ,       ,        ,           
838,    II,   III,23,177,99
839,      ,      ,       ,        ,           
840,      ,      ,       ,        ,           
841,    II,     I,23,144,83
842,    II,      ,23,        ,92
843,   III,      ,-16,        ,76
844,    II,      ,23,        ,92
845,   III,      ,-16,        ,76
846,    II,      ,23,        ,92
847,      ,      ,       ,        ,           
848,      ,      ,       ,        ,           
849,7,      ,-2,        ,82
850,      ,   III,       ,177,99
851,      ,      ,       ,        ,           
852,      ,      ,       ,177,99
853,      ,      ,       ,        ,           
854,      ,      ,       ,        ,           
855,      ,      ,       ,        ,           
856,6,      ,12,        ,87
857,      ,      ,       ,        ,           
858,      ,      ,       ,        ,           
859,      ,      ,       ,        ,           
860,   III,      ,-16,        ,76
861,      ,      ,       ,        ,           
862,6,      ,12,        ,87
863,     I,      ,49,        ,102
864,      ,      ,       ,        ,           
865,      ,      ,       ,        ,           
866,      ,      ,       ,        ,           
867,      ,      ,       ,        ,           
868,      ,      ,       ,        ,           
869,      ,      ,       ,        ,           
870,      ,   III,       ,177,99
871,      ,      ,       ,        ,           
872,   III,   III,-16,177,83
873,      ,      ,       ,        ,           
874,   III,   III,-19,177,83
875,      ,      ,       ,        ,           
876,      ,      ,       ,        ,           
877,      ,      ,       ,        ,           
878,      ,      ,       ,        ,           
879,      ,      ,       ,        ,           
880,   III,      ,-19,        ,75
881,   III,      ,-16,        ,76
882,      ,      ,       ,        ,           
883,      ,      ,       ,        ,           
884,      ,      ,       ,        ,           
885,      ,      ,       ,        ,           
886,    II,     I,23,147,84
887,   III,      ,-16,        ,76
888,      ,      ,       ,        ,           
889,      ,      ,       ,        ,           
890,      ,      ,       ,        ,           
891,      ,      ,       ,        ,           
892,      ,      ,       ,        ,           
893,      ,      ,       ,        ,           
894,   III,      ,-16,        ,76
895,      ,      ,       ,        ,           
896,      ,      ,       ,        ,           
897,      ,      ,       ,        ,           
898,      ,      ,       ,        ,           
899,      ,      ,       ,        ,           
900,      ,      ,       ,        ,           
901,      ,      ,       ,        ,           
902,      ,      ,       ,        ,           
903,      ,      ,       ,        ,           
904,      ,      ,       ,        ,           
905,      ,      ,       ,        ,           
906,      ,      ,       ,        ,           
907,      ,      ,       ,        ,           
908,      ,      ,       ,        ,           
909,      ,      ,       ,        ,           
910,      ,      ,       ,        ,           
911,      ,      ,       ,        ,           
912,      ,      ,       ,        ,           
913,   III,      ,-16,        ,76
914,      ,      ,       ,        ,           
915,      ,      ,       ,        ,           
916,      ,      ,       ,        ,           
917,   III,      ,-16,        ,76
918,      ,      ,       ,        ,           
919,      ,      ,       ,        ,           
920,      ,      ,       ,        ,           
921,      ,   III,       ,177,99
922,      ,      ,       ,        ,           
923,      ,      ,       ,        ,           
924,      ,      ,       ,        ,           
925,      ,      ,       ,        ,           
926,      ,      ,       ,        ,           
927,      ,      ,       ,        ,           
928,      ,   III,       ,177,99
929,   III,      ,-16,        ,76
930,      ,      ,       ,        ,           
931,      ,      ,       ,        ,           
932,      ,      ,       ,        ,           
933,      ,      ,       ,        ,           
934,      ,      ,       ,        ,           
935,      ,      ,       ,        ,           
936,      ,      ,       ,        ,           
937,      ,      ,       ,        ,           
938,      ,      ,       ,        ,           
939,      ,      ,       ,        ,           
940,   III,      ,-16,        ,76
941,      ,      ,       ,        ,           
942,      ,      ,       ,        ,           
943,      ,      ,       ,        ,           
